DIRECCIÓN;ESQUINA;COLONIA;ALCALDIA;BOTON;ALTAVOZ;LONGITUD;LATITUD;geopoint;TIPO DE POSTE;ESTATUS CONECTIVIDAD
CTO. INT. AV. PATRIOTISMO;C. GOYA;INSURGENTES MIXCOAC;BENITO JUAREZ;N/A;N/A;-99.187209;19.374433;19.374433,-99.187209;20m;SIN WIFI
C. LEONARDO DA VINCI;C. REMBRANDT;NONOALCO;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.190348;19.381184;19.381184,-99.190348;9m;WIFI GRATUITO_ACTIVO
C. DONATELLO;ENTRE C. POUSSIN Y AV. PATRIOTISMO;INSURGENTES MIXCOAC;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.186007;19.375133;19.375133,-99.186007;9m;WIFI GRATUITO_ACTIVO
AV. MAGDALENA;C. PASADENA;DEL VALLE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.172417;19.389728;19.389728,-99.172417;9m;WIFI GRATUITO_ACTIVO
EJE 3 PTE. COYOACAN;ENTRE EJE 6 SUR ANGEL URRAZA Y C. MATIAS ROMERO;DEL VALLE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.168093;19.383034;19.383034,-99.168093;9m;WIFI GRATUITO_ACTIVO
C. PATRICIO SANZ;C. CONCEPCION BEISTEGUI;DEL VALLE NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.170546;19.390567;19.390567,-99.170546;9m;WIFI GRATUITO_ACTIVO
C. MORENA;C. MIER Y PESADO;DEL VALLE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.164233;19.399344;19.399344,-99.164233;9m;WIFI GRATUITO_ACTIVO
C. ADOLFO PRIETO;ENTRE C. SAN BORJA Y EJE 6 SUR ANGEL URRAZA;DEL VALLE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.169362;19.384548;19.384548,-99.169362;9m;WIFI GRATUITO_ACTIVO
C. TLACOQUEMECATL;C. ADOLFO PRIETO;DEL VALLE SUR;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.171193;19.377886;19.377886,-99.171193;9m;SIN WIFI
C. PATRICIO SANZ;C. MIGUEL LAURENT;TLACOQUEMECATL DEL VALLE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.173835;19.377083;19.377083,-99.173835;9m;WIFI GRATUITO_ACTIVO
C. CASTILLA;C. CADIZ;ALAMOS;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.142391;19.399295;19.399295,-99.142391;9m;WIFI GRATUITO_ACTIVO
C. ENRIQUE REBSAMEN;AV. OBRERO MUNDIAL;PIEDAD NARVARTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.158565;19.401338;19.401338,-99.158565;9m;SIN WIFI
C. NAVARRA;C. ESTAFETAS;POSTAL;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.146149;19.390771;19.390771,-99.146149;9m;WIFI GRATUITO_ACTIVO
EJE 6 SUR INDEPENDENCIA;C. BOLIVAR;INDEPENDENCIA;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.146664;19.379058;19.379058,-99.146664;9m;WIFI GRATUITO_ACTIVO
C. PILARES;C. TRES ZAPOTES;LETRAN VALLE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.151617;19.374895;19.374895,-99.151617;9m;WIFI GRATUITO_ACTIVO
C. CANARIAS;ENTRE AV. PIRINEOS Y EJE 8 SUR AV. POPOCATEPETL;PORTALES SUR;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.148107;19.361652;19.361652,-99.148107;9m;WIFI GRATUITO_ACTIVO
C. RUMANIA;EJE 7 SUR GRAL. EMILIANO ZAPATA;PORTALES SUR;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.146699;19.364871;19.364871,-99.146699;9m;WIFI GRATUITO_ACTIVO
AV. JOSE MARIA VERTIZ;AV. PRESIDENTES;PORTALES NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.155573;19.368777;19.368777,-99.155573;9m;WIFI GRATUITO_ACTIVO
C. ORINOCO;CALZ. EMILIO CARRANZA;ZACAHUITZCO;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.140211;19.372554;19.372554,-99.140211;9m;WIFI GRATUITO_ACTIVO
AVENIDA VICTOR HUGO;C. BULGARIA;PORTALES NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.151222;19.370853;19.370853,-99.151222;9m;WIFI GRATUITO_ACTIVO
CIRCUITO INTERIOR AV. REVOLUCION;EJE 5 SUR SAN ANTONIO;SAN PEDRO DE LOS PINOS;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.186318;19.385243;19.385243,-99.186318;9m;WIFI GRATUITO_ACTIVO
EJ E 5 SUR 1ro DE MAYO;C. ELISA;NATIVITAS;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.138267;19.382644;19.382644,-99.138267;9m;WIFI GRATUITO_ACTIVO
C. CERRO DE SANTA ISABEL;C. CERRO DE SAN ANTONIO;CAMPESTRE CHURUBUSCO;COYOACAN;CON BOTON;CON ALTAVOZ;-99.139527;19.339387;19.339387,-99.139527;9m;WIFI GRATUITO_ACTIVO
RETORNO 812;ANDADOR EL CENTINELA;EL CENTINELA;COYOACAN;CON BOTON;CON ALTAVOZ;-99.139583;19.336558;19.336558,-99.139583;9m;WIFI GRATUITO_ACTIVO
C. ROSA MA. SEQUEIRA;AV. SANTA ANA;CTM. CULHUACAN SECCION II;COYOACAN;CON BOTON;CON ALTAVOZ;-99.120578;19.329422;19.329422,-99.120578;9m;WIFI GRATUITO_ACTIVO
C. RANCHO MIRADORES;CALZ. DE LAS BOMBAS;LOS GIRASOLES III;COYOACAN;CON BOTON;CON ALTAVOZ;-99.126072;19.310555;19.310555,-99.126072;9m;SIN WIFI
GRAL. A. NAVA;C. VALENTINA;CARMEN SERDAN;COYOACAN;CON BOTON;CON ALTAVOZ;-99.107472;19.319673;19.319673,-99.107472;9m;SIN WIFI
EJE 1 OTE. AV. CANAL DE MIRAMONTES;CALZ. DEL HUESO;FRACC. LOS GIRASOLES;COYOACAN;SIN BOTON;CON ALTAVOZ;-99.124841;19.304022;19.304022,-99.124841;9m;SIN WIFI
C. PIETRO MASCAGNI;C. WAGNER;EX HIPODROMO DE PERALVILLO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.131867;19.456303;19.456303,-99.131867;9m;WIFI GRATUITO_ACTIVO
CALZ. DE LOS MISTERIOS;C. FELIPE VILLANUEVA;PERALVILLO;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.127665;19.461273;19.461273,-99.127665;9m;WIFI GRATUITO_ACTIVO
C. FRANZ SCHUBERT;C. ERNESTO ELORDUY;PERALVILLO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.138795;19.462338;19.462338,-99.138795;9m;WIFI GRATUITO_ACTIVO
C. NEPTUNO;C. INGLATERRA;SAN SIMON TOLNAHUAC;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.141749;19.457016;19.457016,-99.141749;9m;WIFI GRATUITO_ACTIVO
C. MAESTRO ANTONIO CASO;C. MANUEL MARIA CONTRERAS;SAN RAFAEL;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.165789;19.435487;19.435487,-99.165789;9m;WIFI GRATUITO_ACTIVO
CJON. ESPERANZA;C. ALDACO;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.140079;19.427491;19.427491,-99.140079;9m;WIFI GRATUITO_ACTIVO
AV. JOSE MA. PINO SUAREZ;C. SAN JERONIMO;CENTRO;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.132863;19.42645;19.42645,-99.132863;9m;WIFI GRATUITO_ACTIVO
C. CARLOS B. ZETINA;AV. BENJAMIN FRANKLIN;HIPODROMO CONDESA;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.182242;19.407999;19.407999,-99.182242;9m;WIFI GRATUITO_ACTIVO
AV. ISABEL LA CATOLICA;C. JOSE MA. ROA BARCENAS;OBRERA;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.13922;19.411477;19.411477,-99.13922;9m;WIFI GRATUITO_ACTIVO
C. POLONI;C. POPOCANI;LAS PALMAS;MAGDALENA CONTRERAS;CON BOTON;CON ALTAVOZ;-99.249427;19.315685;19.315685,-99.249427;9m;SIN WIFI
DR. ANDRADE;EJE 2 SUR DR. OLVERA;DOCTORES;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.146639;19.415472;19.415472,-99.146639;9m;WIFI GRATUITO_ACTIVO
AV. MORELOS PTE.;ENTRE C. TEPEQUENTECH Y C. OTRIQUISCO;PUEBLO SAN SALVADOR CUAUHTENCO;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.095452;19.194481;19.194481,-99.095452;9m;SIN WIFI
CARR. A SAN LORENZO;ENTRE AV. TAMAULIPAS SUR Y AV. YUCATAN SUR;BARRIO LOS ANGELES;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.022125;19.187935;19.187935,-99.022125;9m;WIFI GRATUITO_ACTIVO
AV. PUEBLA PTE.;AV. SINALOA NORTE;BARRIO SANTA MARTHA;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.026785;19.194966;19.194966,-99.026785;9m;SIN WIFI
TATANACHO;RAUL HELMER;EL TEPETATAL;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.139141;19.565388;19.565388,-99.139141;9m;WIFI GRATUITO_ACTIVO
WENCESLAO;CLARA CORDOBA MORAN;6 DE JUNIO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.126226;19.54877;19.54877,-99.126226;9m;WIFI GRATUITO_ACTIVO
AV. B. JUÁREZ;AV. GUADALUPE VICTORIA;CUAUTEPEC DE MADERO BARRIO BAJO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.137983;19.544135;19.544135,-99.137983;9m;WIFI GRATUITO_ACTIVO
C. TLAXOCONCAHUATL;ENTRE C. CUAUHTEMOC Y C. OMETECUTLI;LA PASTORA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.138791;19.526401;19.526401,-99.138791;9m;WIFI GRATUITO_ACTIVO
AV. 661;EJE 5 NORTE AV 412;U.H. SAN JUAN DE ARAGON VI SECCION;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.062513;19.462717;19.462717,-99.062513;9m;SIN WIFI
C. BRAULIO GUERRERO;CALZ. EMILIANO ZAPATA;GUADALUPE VICTORIA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.140328;19.540264;19.540264,-99.140328;9m;WIFI GRATUITO_ACTIVO
C. PAYSANDU;C. MANDUJANO;SAN BARTOLO ATEPEHUACAN;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.142682;19.491952;19.491952,-99.142682;9m;WIFI GRATUITO_ACTIVO
AV. 508;AV. JOSE LORETO FABELA;U.H. SAN JUAN DE ARAGON II SECCION;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.078982;19.455645;19.455645,-99.078982;9m;WIFI GRATUITO_ACTIVO
C. NORTE 11 A;C. PONIENTE 116;PANAMERICANA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.14584;19.479789;19.479789,-99.14584;9m;WIFI GRATUITO_ACTIVO
AV. 535;ENTRE AV. 508   y  1ra.CERRADA AV. 531;U.H.SAN JUAN DE AGRAGON 1ra.SECC.;GUSTAVO A. MADERO;SIN BOTON;CON ALTAVOZ;-99.086881;19.46328;19.46328,-99.086881;9m;WIFI GRATUITO_ACTIVO
C. FELIX ROMERO;C. IGNACIO SIERRA;CONSTITUCION DE LA REPUBLICA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.099325;19.483431;19.483431,-99.099325;9m;WIFI GRATUITO_ACTIVO
C. CABO SAN LUCAS;C. CABO SAN VICENTE;GABRIEL HERNANDEZ;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.099938;19.501372;19.501372,-99.099938;9m;SIN WIFI
C. MIGUEL HIDALGO;C. 20 DE NOVIEMBRE;25 DE JULIO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.079681;19.497506;19.497506,-99.079681;9m;WIFI GRATUITO_ACTIVO
AND. AGRUPAMIENTO K;C. 661;U. H. NARCISO BASSOLS;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.058001;19.455045;19.455045,-99.058001;9m;SIN WIFI
2da CDA 539;C. 541;U. H. SAN JUAN DE ARAGON 2da SECC.;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.088289;19.453432;19.453432,-99.088289;9m;WIFI GRATUITO_ACTIVO
C. PUERTO SALINA CRUZ;C. PUERTO COATZACOALCOS;AMPLIACION CASAS ALEMAN;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.087603;19.48118;19.48118,-99.087603;9m;WIFI GRATUITO_ACTIVO
CALZ. SAN JUAN DE ARAGON;C. PUERTO DE GUAYMAS;EL OLIVO;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.08736;19.472644;19.472644,-99.08736;9m;WIFI GRATUITO_ACTIVO
C. 633;2da. CDA. DE C. 633;SAN JUAN DE ARAGON 4a. Y 5a. SECCION;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.065658;19.457111;19.457111,-99.065658;9m;WIFI GRATUITO_ACTIVO
AV. 609;1RA. PRIV. AV. 603;U. H. SAN JUAN DE ARAGON 3a.SECC.;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.068915;19.452809;19.452809,-99.068915;9m;WIFI GRATUITO_ACTIVO
INDEPENDENCIA;PRIV INDEPENDENCIA;SAN NICOLAS TOTOLAPAN;MAGDALENA CONTRERAS;CON BOTON;CON ALTAVOZ;-99.245311;19.297261;19.297261,-99.245311;9m;WIFI GRATUITO_ACTIVO
AND. S/N;C. INDEPENDENCIA;SAN NICOLAS TOTOLAPAN;MAGDALENA CONTRERAS;CON BOTON;CON ALTAVOZ;-99.244359;19.297694;19.297694,-99.244359;9m;WIFI GRATUITO_ACTIVO
EJE 1 OTE. ANDRES MOLINA ENRIQUEZ;ENTRE CALZ. SANTA ANITA Y C. CORUÑA;VIADUCTO PIEDAD;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.129145;19.399666;19.399666,-99.129145;9m;SIN WIFI
AV. PLUTARCO ELIAS CALLES;ENTRE EJE 5 SUR (PLAYA VILLA DEL MAR);MILITAR MARTE;IZTACALCO;SIN BOTON;SIN ALTAVOZ;-99.134626;19.380592;19.380592,-99.134626;9m;WIFI GRATUITO_ACTIVO
C. PLAYA ROQUETA;C. PLAYA MOCAMBO;MILITAR MARTE;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.124335;19.38282;19.38282,-99.124335;9m;WIFI GRATUITO_ACTIVO
C. GUILLERMO PRIETO;C. PONCIANO ARRIAGA;CAMP. 2 DE OCTUBRE;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.112339;19.383459;19.383459,-99.112339;9m;SIN WIFI
C. ORIENTE 120;C. SUR 153;AMPLIACION RAMOS MILLAN;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.096809;19.386454;19.386454,-99.096809;9m;WIFI GRATUITO_ACTIVO
EJ 3 OTE. AV. AZUCAR;C. CAFETAL;GRANJAS MEXICO;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.113479;19.400816;19.400816,-99.113479;9m;WIFI GRATUITO_ACTIVO
EJE 3 OTE. FCO. DEL PASO Y TRONCOSO;C. GENARO VAZQUEZ;CAMPAMENTO 2 DE OCTRUBE;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.112185;19.387674;19.387674,-99.112185;9m;WIFI GRATUITO_ACTIVO
C. ORIENTE 102;ESQ. 1ra CDA. DEL RECREO;GABRIEL RAMOS MILLAN;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.105906;19.394663;19.394663,-99.105906;9m;WIFI GRATUITO_ACTIVO
C. SUR 119;ESQ. ORIENTE 116;LOS PICOS DE IZTACALCO 2a. SECC.;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.105933;19.389486;19.389486,-99.105933;9m;WIFI GRATUITO_ACTIVO
CALZADA IGNACIO ZARAGOZA;C. LUIS CERVANTES;PUEBLO STA. MARTHA ACATITLA;IZTAPALAPA;N/A;N/A;-99.000345;19.360803;19.360803,-99.000345;20m;SIN WIFI
MAGDALENA MIXUCA;INTERIOR DEL DEPORTIVO;GRANJAS MEXICO;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.08808;19.403485;19.403485,-99.08808;9m;WIFI GRATUITO_ACTIVO
C. ORIENTE 259;AV. SUR 12;AGRICOLA ORIENTAL;IZTACALCO;CON BOTON;CON ALTAVOZ;-99.061001;19.395386;19.395386,-99.061001;9m;WIFI GRATUITO_ACTIVO
C. CASCADA;CALZ. ERMITA IZTAPALAPA;BANJIDAL;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.138207;19.359515;19.359515,-99.138207;9m;WIFI GRATUITO_ACTIVO
AV. AGUSTIN YAÑES;C. SUR 103-A;SECTOR POPULAR;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.118472;19.365796;19.365796,-99.118472;9m;SIN WIFI
CALZ. ALFONSO TORO;C. TTE. FAUSTO VEGA SANTANDER (C. TTE. JAVIER MARTINEZ VALLE);ESCUADRON 201;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.111474;19.366951;19.366951,-99.111474;9m;WIFI GRATUITO_ACTIVO
C. CONTADORES;ENTRE EJE 5 SUR PURISIMA Y C. DEL ROSAL;NUEVA ROSITA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.107104;19.377989;19.377989,-99.107104;9m;SIN WIFI
C. CULTURAS PREHISPANICA;CALLE 12;GRANJAS SAN ANTONIO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.103521;19.368224;19.368224,-99.103521;9m;WIFI GRATUITO_ACTIVO
C. AVENA;C. LEÑADORES;GRANJAS ESMERALDA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.119215;19.354383;19.354383,-99.119215;9m;WIFI GRATUITO_ACTIVO
C. 10 DE AGOSTO DE 1860;C. BATALLON DE PASO DE OVEJAS;LEYES DE REFORMA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.070934;19.376088;19.376088,-99.070934;9m;WIFI GRATUITO_ACTIVO
C. ESCOBILLERA;C. EMBARCADERO;LOS PASEOS DE CHURUBUSCO;IZTAPALAPA;SIN BOTON;SIN ALTAVOZ;-99.07983;19.380956;19.380956,-99.07983;9m;SIN WIFI
PROL. ALLENDE;C. PALACIO;BARRIO SAN IGNACIO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.095797;19.365486;19.365486,-99.095797;9m;SIN WIFI
AV. PLAZA MAYOR;C. PLAZA VIZCAINAS;DR. ALFONSO ORTIZ TIRADO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.077772;19.386807;19.386807,-99.077772;9m;WIFI GRATUITO_ACTIVO
C. 3 RICARDO JAIMES;C. 1 RICARDO JAIMES;UNIDAD VICENTE GUERRERO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.059593;19.361718;19.361718,-99.059593;9m;WIFI GRATUITO_ACTIVO
AV. TLAHUAC;C. LA TURBA;EL ROSARIO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.063481;19.305507;19.305507,-99.063481;9m;WIFI GRATUITO_ACTIVO
C. SUR 69;CALZADA ERMITA IZTAPALAPA;EL PRADO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.137371;19.359209;19.359209,-99.137371;9m;WIFI GRATUITO_ACTIVO
RET. 506 DE E. ZAPATA;ENTRE PROL. EMILIANO ZAPATA Y RETORNO 506;UNIDAD MODELO;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.125091;19.36134;19.36134,-99.125091;9m;WIFI GRATUITO_ACTIVO
AV. CANAL DEL MORAL;C. ARIEL;SIDERAL;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.064584;19.374861;19.374861,-99.064584;9m;WIFI GRATUITO_ACTIVO
C. HOMBRES ILUSTRES;CALZ. ERMITA IZTAPALAPA;BARRIO SAN LUCAS;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.094332;19.357638;19.357638,-99.094332;9m;SIN WIFI
PLAN DE SAN LUIS;FRANCISCO VILLA;Z.U.E. STA. MA. AZTAHUACAN;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.036055;19.354692;19.354692,-99.036055;9m;SIN WIFI
C. ABRAHAM GONZALEZ;AV. MEXICO;SANTA MARIA AZTAHUACAN;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.02203;19.357857;19.357857,-99.02203;9m;SIN WIFI
AV. MEXICO;PRIV. SAN PEDRO (CDA. CLAVELES);MONTE ALBAN;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.023924;19.35566;19.35566,-99.023924;9m;SIN WIFI
AV. CENTRAL (MERCADO V. CARRANZA);ENTRE C. CONSTITUCIÓN DE APATZINGAN Y AV. UNIVERSIDAD;U. H. EJERCITO CONSTITUCIONALISTA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.056802;19.386379;19.386379,-99.056802;9m;SIN WIFI
C. GUADALUPE VICTORIA;AV. REVOLUCIÓN;TEPALCATES;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.0517;19.386285;19.386285,-99.0517;9m;SIN WIFI
AVE. CENTRAL;ESQ. 1era. CD. CENTRAL;TEPALCATES;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.057285;19.393362;19.393362,-99.057285;9m;SIN WIFI
AV. UNIVERSIDAD;AV. TELECOMUNICACIONES;U. H. EJERCITO CONSTITUCIONALISTA;GUSTAVO A. MADERO;CON BOTON;CON ALTAVOZ;-99.049648;19.38641;19.38641,-99.049648;9m;WIFI GRATUITO_ACTIVO
FERNANDO ARRUTI;ESQ. ELISA ACUÑA ROSETE;AMPLIACION STA. MARTHA ACATITLA NORTE;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.018522;19.378358;19.378358,-99.018522;9m;WIFI GRATUITO_ACTIVO
ÁNGEL TRIAS;ESQ. 5TA. CDA. JUAN DE ENRÍQUEZ;JUAN ESCUTIA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.032455;19.387837;19.387837,-99.032455;9m;WIFI GRATUITO_ACTIVO
FELIPE DE LA GARZA;ESQ. JOSE ZUBIETA;JUAN ESCUTIA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.042893;19.392583;19.392583,-99.042893;9m;SIN WIFI
C. FILOMENO MATA;C. MIGUEL HIDALGO;Z.U.STA. MARIA AZTAHUACAN;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.03745;19.353132;19.353132,-99.03745;9m;SIN WIFI
C. MANUEL SALAZAR;C. BRIGADA CARBAJAL;U. H. EJERCITO DE ORIENTE SECC. I;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.027569;19.36992;19.36992,-99.027569;9m;WIFI GRATUITO_ACTIVO
C. FIJO DE VERACRUZ;ESQ. AV. BATALLÓN LIGERO DE TOLUCA;EL PARAISO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.035589;19.377434;19.377434,-99.035589;9m;SIN WIFI
C. BATALLA DE OCOTLAN;ESQ. C. BATALLA DE CALVARIO;C. H. ALVARO OBREGON;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.037815;19.373377;19.373377,-99.037815;9m;SIN WIFI
C. FRANCISCO I. MADERO;AVENIDA YUCATAN;P. SAN SEBASTIAN TECOLOXTITLA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.011637;19.362543;19.362543,-99.011637;9m;WIFI GRATUITO_ACTIVO
C. ORIENTE 166;C. SUR 69;JUSTO SIERRA;IZTAPALAPA;SIN BOTON;CON ALTAVOZ;-99.136664;19.365209;19.365209,-99.136664;9m;WIFI GRATUITO_ACTIVO
C. FRANCISCO I. MADERO;C. PORFIRIO DIAZ;PUEBLO STA. MARTHA ACATITLA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.010146;19.362162;19.362162,-99.010146;9m;SIN WIFI
C. EVERARDO GAMIZ;C. DELICIAS;LOMAS DE SAN LORENZO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.071321;19.3167;19.3167,-99.071321;9m;WIFI GRATUITO_ACTIVO
C. 12;C. 22;JOSE LOPEZ PORTILLO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.082209;19.303334;19.303334,-99.082209;9m;WIFI GRATUITO_ACTIVO
C. 22;C. 11;JOSE LOPEZ PORRTILLO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.082563;19.303598;19.303598,-99.082563;9m;WIFI GRATUITO_ACTIVO
C. BATALLON FIJO DE VERACRUZ;C. JOSE MARIA GALVEZ;U.H.E.O II INDECO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.037258;19.379912;19.379912,-99.037258;9m;WIFI GRATUITO_ACTIVO
AV. INSURGENTES SUR;C. COAHUILA (AV. MICHOACÁN);ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.166886;19.410518;19.410518,-99.166886;9m;WIFI GRATUITO_ACTIVO
C. RIO ATOYAC;AV. JOSE LOPEZ PORTILLO (AV. 3);LOMAS DE SAN LORENZO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.058956;19.320764;19.320764,-99.058956;9m;SIN WIFI
ACCION SOCIAL;ENTRE CONDIMINIO 5 Y CONDOMINIO 6;U. H. GIRASOLES;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.074007;19.314545;19.314545,-99.074007;9m;SIN WIFI
C. GALEANA;EJE 5 SUR SANTA MARIA LA PURISIMA;APATLACO;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.119925;19.380097;19.380097,-99.119925;9m;WIFI GRATUITO_ACTIVO
AVENIDA DE LAS TORRES;2da. CDA. LAS TORRES;SAN MIGUEL TEOTONGO SECC. LAS TORRES;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-98.993066;19.347555;19.347555,-98.993066;9m;WIFI GRATUITO_ACTIVO
C. CARRIL;C. CLAVEL;SAN MIGUEL TEOTONGO SECC. GUADALUPE;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-98.98606;19.339233;19.339233,-98.98606;9m;SIN WIFI
C. BANDERA;ENTRE C. MIGUEL DE LA MADRID Y C. 15 DE SEPTIEMBRE;LOMAS DE ZARAGOZA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-98.997043;19.34987;19.34987,-98.997043;9m;SIN WIFI
C. CUAUHTEMOC;C. JACARANDAS;PUEBLO SANTIAGO ACAHUALTEPEC;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.004067;19.351072;19.351072,-99.004067;9m;SIN WIFI
C. PAPAYA;C. MANGO;XALPA;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.017871;19.339575;19.339575,-99.017871;9m;WIFI GRATUITO_ACTIVO
C. TRIGO;C. CENTENO;TENORIOS;IZTAPALAPA;CON BOTON;CON ALTAVOZ;-99.019574;19.329498;19.329498,-99.019574;9m;SIN WIFI
